wall,blockTs,asset,value,feedTs
1783483464,1783483464,LTC/USD,43568172000000008192,1783483392
1783483464,1783483464,XRP/USD,1098980377750000000,1783483220
1783483464,1783483464,RAIN/USD,0,0
1783483483,1783483483,BTC/USD,62931497003119869427712,1783483215
1783483483,1783483483,ETH/USD,1758189193825000095744,1783483216
1783483483,1783483483,LTC/USD,43568172000000008192,1783483392
1783483483,1783483483,XRP/USD,1098980377750000000,1783483220
1783483483,1783483483,RAIN/USD,0,0
1783483503,1783483503,BTC/USD,62931497003119869427712,1783483215
1783483503,1783483503,ETH/USD,1758189193825000095744,1783483216
1783483503,1783483503,LTC/USD,43568172000000008192,1783483392
1783483503,1783483503,XRP/USD,1098980377750000000,1783483220
1783483503,1783483503,RAIN/USD,0,0
1783483522,1783483522,BTC/USD,62931497003119869427712,1783483215
1783483522,1783483522,ETH/USD,1758189193825000095744,1783483216
1783483522,1783483522,LTC/USD,43568172000000008192,1783483392
1783483522,1783483522,XRP/USD,1098980377750000000,1783483220
1783483522,1783483522,RAIN/USD,0,0
1783483541,1783483541,BTC/USD,62931497003119869427712,1783483215
1783483541,1783483541,ETH/USD,1758189193825000095744,1783483216
1783483541,1783483541,LTC/USD,43568172000000008192,1783483392
1783483541,1783483541,XRP/USD,1098980377750000000,1783483220
1783483541,1783483541,RAIN/USD,0,0
1783483560,1783483560,BTC/USD,62931497003119869427712,1783483215
1783483560,1783483560,ETH/USD,1758189193825000095744,1783483216
1783483560,1783483560,LTC/USD,43568172000000008192,1783483392
1783483560,1783483560,XRP/USD,1098980377750000000,1783483220
1783483560,1783483560,RAIN/USD,0,0
1783483579,1783483579,BTC/USD,62931497003119869427712,1783483215
1783483579,1783483579,ETH/USD,1756823933662923718656,1783483575
1783483579,1783483579,LTC/USD,43568172000000008192,1783483392
1783483579,1783483579,XRP/USD,1098056458612500096,1783483579
1783483579,1783483579,RAIN/USD,0,0
1783483599,1783483599,BTC/USD,62931497003119869427712,1783483215
1783483599,1783483599,ETH/USD,1756823933662923718656,1783483575
1783483599,1783483599,LTC/USD,43568172000000008192,1783483392
1783483599,1783483599,XRP/USD,1098056458612500096,1783483579
1783483599,1783483599,RAIN/USD,0,0
1783483618,1783483618,BTC/USD,62931497003119869427712,1783483215
1783483618,1783483618,ETH/USD,1756823933662923718656,1783483575
1783483618,1783483618,LTC/USD,43568172000000008192,1783483392
1783483618,1783483618,XRP/USD,1098056458612500096,1783483579
1783483618,1783483618,RAIN/USD,0,0
1783483637,1783483637,BTC/USD,62931497003119869427712,1783483215
1783483637,1783483637,ETH/USD,1756823933662923718656,1783483575
1783483637,1783483637,LTC/USD,43568172000000008192,1783483392
1783483637,1783483637,XRP/USD,1098056458612500096,1783483579
1783483637,1783483637,RAIN/USD,0,0
1783483657,1783483657,BTC/USD,62931497003119869427712,1783483215
1783483657,1783483657,ETH/USD,1756823933662923718656,1783483575
1783483657,1783483657,LTC/USD,43568172000000008192,1783483392
1783483657,1783483657,XRP/USD,1098056458612500096,1783483579
1783483657,1783483657,RAIN/USD,0,0
1783483676,1783483676,BTC/USD,62931497003119869427712,1783483215
1783483676,1783483676,ETH/USD,1756823933662923718656,1783483575
1783483676,1783483676,LTC/USD,43568172000000008192,1783483392
1783483676,1783483676,XRP/USD,1098056458612500096,1783483579
1783483676,1783483676,RAIN/USD,0,0
1783483699,1783483699,BTC/USD,62931497003119869427712,1783483215
1783483699,1783483699,ETH/USD,1756823933662923718656,1783483575
1783483699,1783483699,LTC/USD,43568172000000008192,1783483392
1783483699,1783483699,XRP/USD,1098056458612500096,1783483579
